Omzet_Bulanan_Juta_Rp,Laba_Bersih_Bulanan_Juta_Rp,Jumlah_Karyawan,Total_Aset_Juta_Rp,Pencatatan_Keuangan_1_3,Tingkat_Digitalisasi_1_4
6.56,0.55,1,7.95,2,1
28.38,4.92,1,93.96,2,2
13.94,2.93,2,68.42,3,2
36.28,9.63,2,50.47,3,2
2.14,0.18,1,2.76,1,1
5.92,-0.0,1,2.45,1,1
15.66,3.85,1,37.34,3,3
114.67,34.95,8,287.43,3,3
1.12,0.12,1,2.74,1,1
4.06,0.46,1,2.22,1,1
6.19,0.54,1,3.1,1,1
1.36,0.11,1,2.06,1,1
21.34,4.89,1,81.34,2,2
20.18,3.98,3,12.14,2,3
5.5,-0.17,1,3.64,1,1
0.85,0.12,1,9.52,1,1
5.78,-0.05,1,4.47,1,1
17.97,4.16,2,54.66,2,3
150.03,32.35,9,380.7,3,4
4.42,0.5,1,7.73,1,1
123.8,46.85,6,243.58,3,4
2.26,0.48,1,1.68,2,1
20.39,3.26,3,85.99,2,2
2.58,-0.09,1,4.07,1,1
48.52,13.16,6,327.45,3,3
37.2,8.0,3,26.27,2,2
29.55,5.19,3,41.55,2,3
2.01,-0.08,1,2.9,1,1
21.5,6.19,1,25.5,2,3
25.85,7.33,3,33.89,2,3
2.44,0.16,1,4.02,1,1
61.08,17.7,3,335.45,3,3
4.24,0.59,1,4.53,1,1
4.05,0.76,1,5.13,1,1
37.46,6.94,2,76.87,3,3
1.71,0.1,1,6.87,1,1
39.41,9.01,3,11.45,2,2
6.66,-0.64,1,1.2,1,2
1.4,-0.13,1,4.36,1,1
12.75,2.13,2,28.03,3,3
6.51,1.04,1,5.51,1,2
2.19,-0.09,1,3.82,1,1
3.52,0.21,1,7.97,1,1
3.79,0.02,1,2.69,1,2
23.96,4.6,1,86.56,2,3
113.2,24.92,9,230.28,3,4
30.92,5.44,2,42.53,2,3
0.79,0.15,1,4.85,1,1
12.34,2.5,1,77.75,2,2
13.02,2.93,3,24.49,2,3
149.75,56.93,10,272.91,2,4
1.51,-0.14,1,2.87,1,1
22.71,4.77,3,68.47,3,2
2.55,0.17,1,8.43,2,2
20.4,4.1,2,63.72,1,2
13.46,2.93,3,32.8,3,2
58.73,18.34,4,446.5,2,3
9.43,2.04,3,88.01,2,2
3.0,-0.29,1,9.45,1,1
34.64,5.84,2,83.04,2,2
23.06,6.1,1,48.16,3,2
3.95,0.57,1,2.45,1,1
5.64,-0.53,1,5.37,1,1
0.52,0.01,1,8.86,1,1
32.09,9.41,2,13.04,1,2
133.89,35.91,3,369.34,2,3
4.21,1.05,1,5.63,1,2
3.1,-0.02,1,1.2,1,1
10.95,2.75,2,63.84,3,2
11.54,1.93,2,38.14,2,2
133.95,31.17,5,227.37,3,4
10.76,2.45,2,25.02,2,2
16.94,4.2,2,25.57,2,3
5.45,1.3,1,4.34,1,1
1.42,-0.01,1,5.75,2,1
18.95,5.52,3,24.46,1,3
22.35,3.61,3,42.56,2,3
4.46,0.73,1,3.02,1,1
27.05,4.33,1,58.3,3,3
1.57,0.37,1,3.46,1,1
3.07,0.44,1,9.11,1,2
27.51,5.4,1,78.23,2,2
3.42,-0.06,1,4.02,1,1
5.89,-0.4,1,1.53,1,1
149.52,44.41,8,162.14,3,4
6.46,-0.57,1,8.18,1,1
53.41,12.73,8,280.62,3,3
153.55,46.53,8,327.63,3,4
34.41,7.93,1,16.36,2,2
30.6,7.84,3,39.77,3,3
80.18,20.98,3,225.06,3,4
9.4,2.39,1,87.58,2,3
32.72,6.68,1,91.24,2,3
37.2,10.16,1,44.37,1,2
20.7,4.59,2,45.71,2,2
5.74,0.63,1,3.36,1,1
9.89,2.63,3,94.52,3,3
14.17,3.3,2,53.45,2,2
2.16,0.18,1,3.06,1,1
5.62,-0.4,1,7.56,2,1
89.88,20.7,7,166.93,3,4
4.27,0.19,1,9.66,2,1
32.73,9.57,3,76.98,3,2
78.25,31.25,3,352.06,3,3
4.87,1.12,1,5.8,1,1
1.42,0.1,1,3.22,1,2
115.25,28.22,9,161.4,3,4
27.12,6.83,2,59.4,1,2
23.32,4.36,1,13.9,2,2
57.65,16.24,6,438.68,3,4
6.46,0.58,1,2.07,1,1
2.12,-0.12,1,9.08,1,1
4.54,0.14,1,4.38,1,1
38.54,7.63,2,18.67,2,3
4.66,0.01,1,4.03,1,1
39.57,8.01,3,18.68,3,2
6.8,0.84,1,1.06,1,2
96.12,31.21,7,411.86,3,3
81.88,25.34,5,164.59,3,4
0.9,-0.05,1,7.66,1,1
7.0,0.56,1,7.38,1,1
16.3,3.52,1,29.28,2,2
19.52,4.54,3,48.6,2,2
2.21,0.13,1,4.71,1,1
20.17,3.56,3,10.77,2,2
34.94,8.91,3,18.59,2,3
29.27,6.65,3,36.8,2,3
0.77,0.01,1,6.03,1,1
18.17,5.43,2,94.72,2,2
1.8,-0.0,1,8.38,1,1
6.28,1.21,1,9.07,1,2
6.34,0.87,1,5.44,1,1
38.87,6.94,1,49.66,3,3
12.63,1.93,3,12.67,1,2
111.85,27.26,3,228.91,2,3
4.07,0.89,1,4.01,1,1
6.13,0.43,1,6.49,1,1
4.16,0.28,1,5.78,2,1
2.06,0.15,1,8.61,1,1
5.97,-0.36,1,5.93,1,2
0.81,-0.01,1,9.73,1,1
27.05,7.38,2,76.56,2,2
10.0,2.79,1,28.45,3,2
27.08,4.31,3,70.75,2,3
0.5,-0.04,1,2.0,1,1
100.2,35.55,6,338.25,3,4
32.18,9.06,1,77.03,3,2
26.23,6.79,3,51.55,2,3
29.71,6.43,3,83.81,2,2
16.3,3.13,3,59.28,2,3
49.3,17.26,3,230.57,3,3
54.1,14.23,3,438.58,3,4
1.37,0.19,1,6.03,1,1
0.91,0.09,1,4.76,1,2
55.19,18.91,10,154.92,3,4
35.64,6.6,2,78.64,2,2
3.84,0.45,1,8.25,1,1
16.51,3.21,3,26.19,1,2
1.49,-0.12,1,2.6,1,1
59.81,20.67,6,495.67,2,4
9.05,1.77,2,66.95,2,3
22.73,6.29,1,76.09,1,2
46.89,12.8,3,422.93,3,3
5.79,0.87,1,6.97,1,1
2.9,-0.07,1,3.23,1,1
3.78,0.7,1,8.84,1,1
6.77,-0.18,1,5.69,1,2
18.08,5.28,3,38.39,3,2
12.43,2.09,2,61.31,3,2
39.42,7.55,2,55.38,2,3
0.73,0.11,1,2.86,1,1
6.42,-0.62,1,5.87,1,2
24.09,6.6,2,40.26,2,2
1.67,-0.02,1,4.66,1,1
135.56,47.05,3,239.43,3,3
16.01,3.96,1,63.38,2,2
4.5,-0.44,1,4.33,1,1
5.7,-0.56,1,2.32,1,1
5.19,-0.2,1,7.64,2,2
16.98,4.79,2,95.44,2,3
5.25,0.14,1,5.63,1,1
44.62,16.37,7,496.87,3,4
6.67,0.16,1,9.36,2,1
2.22,0.08,1,9.8,1,1
46.62,14.51,10,191.27,2,3
10.36,1.69,3,85.18,2,3
5.49,0.41,1,6.49,1,1
7.0,1.46,3,20.22,3,2
6.22,-0.18,1,2.74,1,1
35.03,9.8,2,18.07,2,2
49.6,10.37,9,198.08,2,4
5.94,0.14,1,9.17,2,1
1.32,0.21,1,2.87,1,2
38.81,8.89,3,40.61,3,3
87.06,32.38,5,310.35,2,4
4.38,0.72,1,3.93,1,1
4.18,-0.16,1,6.3,1,1
26.5,7.28,1,99.25,3,3
33.04,9.46,3,57.09,2,3
139.09,36.25,9,486.91,2,3
29.66,6.47,3,13.26,2,2
6.15,1.22,1,8.22,2,2
2.34,-0.21,1,2.37,1,1
1.05,0.24,1,7.21,1,1
1.06,-0.04,1,1.45,1,1
22.29,3.51,1,56.58,2,2
5.56,0.67,1,2.94,1,1
6.72,-0.31,1,4.82,1,1
8.95,1.37,1,69.65,3,3
3.33,0.34,1,5.86,1,1
4.9,-0.43,1,5.97,1,1
2.87,0.09,1,5.55,1,1
6.56,0.2,1,3.3,1,1
2.77,0.46,1,6.29,1,2
3.87,0.66,1,9.8,1,2
93.24,30.68,4,376.96,3,3
89.58,27.52,6,294.29,2,4
147.74,40.07,4,413.61,2,4
35.56,6.83,2,40.01,2,2
39.73,6.13,1,25.45,2,3
6.51,1.42,1,1.31,1,1
134.19,31.99,8,207.58,3,4
30.42,8.02,1,22.63,2,2
6.37,0.16,1,3.33,1,1
30.9,7.69,1,44.15,2,3
0.79,0.2,1,2.12,1,1
115.48,26.35,6,144.98,3,4
25.68,5.73,1,42.39,2,2
1.35,0.02,1,1.12,1,2
33.19,7.35,1,13.09,2,2
4.37,0.01,1,2.38,1,1
31.94,7.28,2,76.48,2,3
0.96,0.12,1,6.8,1,1
30.27,8.86,2,42.69,2,2
29.13,7.83,2,22.35,2,2
11.08,2.22,2,19.47,2,2
68.63,20.63,9,457.63,3,4
24.94,7.4,2,31.53,1,2
6.3,0.67,1,7.18,1,1
1.57,0.05,1,2.65,1,1
5.67,-0.16,1,4.5,1,1
25.84,4.25,1,22.94,2,3
126.76,36.47,5,250.23,3,3
12.23,3.14,2,28.15,3,2
38.32,10.94,1,43.85,3,2
31.37,5.11,2,42.16,2,2
128.87,41.95,8,332.54,2,3
32.5,8.08,3,77.37,2,3
4.01,0.23,1,1.39,1,2
2.77,0.12,1,7.93,1,1
34.53,5.94,1,15.62,2,2
4.35,-0.15,1,8.68,1,1
1.47,0.29,1,3.92,1,1
4.07,0.84,1,3.16,1,1
2.28,0.45,1,2.01,1,1
11.78,2.71,2,82.58,3,2
5.93,1.11,1,7.53,1,1
1.68,0.33,1,5.65,1,1
7.26,1.13,1,12.53,2,3
89.65,33.14,5,152.77,3,4
6.64,-0.18,1,9.69,1,1
10.74,2.9,3,87.83,1,3
5.17,0.31,1,4.5,1,2
80.75,22.1,8,246.74,3,4
1.62,0.01,1,1.63,1,1
4.03,0.43,1,5.78,1,2
1.52,0.19,1,9.63,1,2
61.04,16.79,10,390.94,2,3
2.07,-0.07,1,6.34,1,1
13.44,2.46,2,19.37,2,2
6.64,-0.52,1,8.36,1,2
12.91,2.79,3,29.65,2,2
8.81,1.49,1,84.13,3,2
34.3,7.91,3,79.43,2,3
3.0,0.16,1,5.16,1,1
32.18,5.5,1,95.02,2,2
50.66,17.21,4,422.68,3,4
4.34,0.67,1,7.23,1,1
2.19,0.16,1,8.06,1,1
8.53,2.49,1,42.35,2,2
91.83,35.99,7,392.19,3,4
30.31,8.23,1,45.0,3,2
124.38,32.66,7,282.5,3,3
4.59,1.08,1,9.75,1,1
122.02,42.43,10,458.68,3,3
21.85,5.24,3,30.36,2,2
4.86,-0.29,1,6.5,1,1
2.95,-0.2,1,3.65,1,1
0.79,0.04,1,4.87,1,1
109.83,28.83,6,269.09,3,4
4.37,0.23,1,7.07,1,1
25.36,4.93,2,55.22,2,2
4.38,0.93,1,1.38,1,1
131.55,36.47,10,300.7,3,3
10.06,2.09,3,63.69,1,3
20.1,3.09,3,96.73,2,2
36.28,7.31,1,94.36,2,2
10.41,2.55,1,75.49,2,2
15.41,3.31,3,18.82,2,3
157.74,50.23,10,276.05,3,4
19.56,5.58,3,62.05,1,3
32.95,8.34,1,44.06,3,2
3.79,0.35,1,9.03,1,1
9.76,1.71,2,76.97,3,3
1.19,0.11,1,5.44,1,1
1.9,-0.02,1,9.41,1,1
5.66,0.59,1,7.49,1,1
12.29,3.03,2,59.68,2,3
30.1,6.82,2,86.93,2,2
12.57,2.52,2,20.81,2,3
38.34,10.07,1,43.88,2,2
31.86,5.76,3,58.22,2,2
32.64,7.28,3,92.05,2,3
4.92,0.53,1,5.99,1,2
3.76,0.39,1,6.86,1,1
5.14,0.17,1,4.15,1,1
5.65,1.29,1,7.38,1,2
24.77,5.05,2,29.34,2,3
20.44,3.08,3,22.78,3,2
27.59,7.58,1,26.11,2,2
8.44,1.52,3,97.18,2,3
31.94,8.6,1,28.15,3,2
51.3,11.33,9,270.29,3,3
29.93,6.34,3,33.62,3,3
11.96,3.07,1,60.42,2,3
5.24,-0.51,1,7.54,1,1
149.75,53.72,4,324.41,3,3
63.27,19.78,3,317.39,3,4
2.08,-0.09,1,6.89,1,1
30.33,5.49,1,91.97,1,2
1.54,-0.0,1,5.44,2,1
6.9,1.32,1,4.48,1,1
5.15,0.61,1,1.78,1,1
4.54,-0.25,1,7.18,1,1
3.72,-0.12,1,5.79,1,1
17.62,3.89,2,73.84,2,3
33.98,7.13,3,28.96,2,2
2.87,0.38,1,8.12,1,1
22.72,6.8,3,81.83,2,3
39.52,7.61,3,43.61,2,3
8.44,2.32,1,77.57,2,2
9.0,1.96,3,67.68,2,3
3.49,0.4,1,8.03,1,1
5.09,0.47,1,1.41,1,1
1.91,0.35,1,9.0,1,2
9.25,2.42,3,85.19,2,3
21.27,3.31,3,61.89,2,2
0.95,-0.07,1,8.09,1,1
34.92,9.89,2,76.51,2,2
0.71,-0.03,1,8.17,1,2
21.05,6.31,2,51.49,3,2
19.82,4.53,2,89.68,2,2
3.33,-0.23,1,8.19,1,1
16.31,3.83,3,10.06,2,3
29.21,7.53,1,93.09,3,2
0.96,-0.06,1,7.76,1,2
19.79,3.72,3,80.94,2,2
66.05,17.95,9,109.41,3,3
20.41,5.15,1,90.54,2,2
28.72,7.12,3,98.1,2,2
139.84,49.57,7,181.82,3,4
3.73,0.81,1,6.36,1,1
155.42,43.63,5,412.22,2,4
0.92,-0.06,1,6.31,1,1
14.44,3.07,1,83.8,2,2
1.69,0.4,1,6.6,1,1
1.86,-0.02,1,5.0,1,1
6.46,1.13,1,5.12,1,1
29.67,6.53,1,26.75,2,3
6.18,0.57,1,2.17,1,1
6.35,0.52,1,8.5,1,2
111.01,40.96,7,389.04,3,3
3.22,0.41,1,5.81,1,2
8.34,2.49,3,62.45,2,3
57.28,16.4,4,273.91,3,3
6.74,-0.23,1,5.41,1,1
0.76,-0.06,1,4.41,1,1
26.45,6.51,2,63.67,2,2
3.8,0.13,1,3.97,1,1
50.83,11.09,8,406.13,3,4
46.53,9.61,4,255.88,3,4
17.35,2.65,2,83.28,2,3
0.52,0.11,1,8.93,1,1
1.71,0.12,1,8.86,1,2
4.33,-0.02,1,1.49,1,1
20.42,3.09,3,23.69,1,2
16.24,4.37,2,37.27,3,3
16.46,2.88,1,47.22,3,2
32.74,5.32,1,96.3,2,3
6.78,0.74,1,2.92,1,1
35.43,10.24,2,26.74,2,2
0.75,0.07,1,6.01,1,1
6.94,0.67,1,6.57,1,2
65.46,26.06,10,423.78,3,3
17.33,5.17,3,34.81,2,2
3.62,-0.21,1,3.5,2,1
111.8,33.9,6,338.73,3,4
26.63,5.44,3,82.18,2,2
12.44,2.57,3,93.84,1,2
104.72,35.24,6,396.3,3,4
153.47,32.63,3,186.98,3,4
103.38,39.1,6,351.29,2,4
101.82,31.46,10,254.54,3,3
24.66,7.21,2,10.03,2,2
14.39,3.69,3,39.86,2,2
36.59,9.53,2,54.44,3,2
6.46,0.63,1,2.11,1,1
8.01,2.04,2,21.99,3,2
2.25,0.22,1,3.36,1,1
5.76,-0.11,1,5.22,1,2
38.85,6.87,2,16.28,2,2
109.9,28.77,9,399.58,3,3
6.37,-0.26,1,2.99,1,2
140.28,34.7,3,312.67,2,3
158.55,50.39,5,429.62,3,3
12.32,2.68,3,59.87,3,2
18.92,4.35,2,92.06,2,2
5.17,0.93,1,1.82,1,1
6.65,0.89,1,1.53,1,1
108.65,29.77,10,178.33,2,4
2.9,0.28,1,1.59,1,1
1.35,0.25,1,8.95,1,1
28.2,6.03,3,26.58,3,3
2.3,0.43,1,2.43,1,1
6.09,0.7,1,6.61,1,1
17.15,5.1,1,77.21,2,2
6.88,-0.36,1,9.39,1,1
156.05,60.51,6,207.53,3,3
3.25,0.79,1,7.58,1,1
2.82,0.13,1,1.63,1,2
1.95,0.39,1,9.01,1,1
4.08,0.62,1,4.81,1,1
21.1,5.62,2,19.2,3,3
0.75,-0.04,1,7.47,2,1
6.01,0.46,1,7.84,1,1
4.62,0.45,1,3.22,1,1
51.72,17.98,6,468.97,3,3
21.42,4.96,3,92.05,2,3
4.15,0.13,1,9.77,1,2
0.56,0.13,1,6.6,1,2
86.27,32.36,10,181.25,2,4
29.01,8.12,1,31.37,2,2
4.78,-0.37,1,8.01,2,1
31.28,5.45,2,19.35,3,2
5.3,0.96,1,2.28,1,1
5.39,0.37,1,1.21,2,1
4.44,0.55,1,3.39,2,2
33.02,5.28,1,96.16,1,2
26.24,6.18,2,60.45,2,3
0.79,-0.03,1,5.06,1,1
2.58,0.02,1,4.41,1,2
4.1,0.85,1,9.65,2,1
3.33,0.45,1,7.43,1,1
39.26,8.25,2,37.02,2,2
17.15,2.98,1,35.66,3,2
5.98,1.21,1,5.93,2,1
26.93,6.99,1,23.11,2,2
2.21,0.33,1,1.25,1,1
4.17,0.53,1,8.21,1,1
12.19,3.32,2,19.41,3,3
23.84,6.07,2,86.36,2,2
5.61,1.17,1,5.81,1,1
39.86,9.56,2,76.94,1,2
13.38,2.46,3,15.49,2,3
120.41,35.33,6,349.82,3,4
27.78,6.15,1,50.59,3,2
36.08,5.58,3,51.67,2,3
134.94,45.1,6,172.88,3,3
3.3,0.64,1,8.89,1,1
5.26,0.62,1,2.02,1,2
5.2,-0.3,1,1.66,1,1
21.9,3.63,3,29.51,2,2
23.82,4.52,1,17.96,2,2
27.28,5.4,3,55.95,1,2
36.44,9.63,1,64.68,3,3
25.38,6.24,1,74.79,3,3
39.0,10.28,2,50.44,2,2
21.07,4.43,3,63.34,2,2
2.34,0.17,1,4.62,1,1
8.33,2.49,1,14.6,2,2
5.81,1.09,1,9.17,1,1
1.27,-0.06,1,9.13,1,2
1.89,0.1,1,8.47,1,1
0.93,-0.07,1,8.23,1,1
6.12,1.16,1,2.35,2,1
39.23,9.24,2,39.92,2,2
4.55,-0.11,1,9.32,1,2
12.47,3.45,3,83.06,2,3
24.1,4.48,1,65.2,3,2
5.25,-0.47,1,3.34,1,2
6.37,0.76,1,8.01,1,1
3.94,-0.17,1,7.31,1,1
39.25,10.34,3,96.61,3,3
25.32,6.04,3,16.75,2,2
9.61,2.19,2,78.33,3,2
1.12,0.13,1,9.26,1,2
54.7,11.35,4,254.49,3,3
5.56,1.25,1,3.27,1,1
0.9,0.04,1,7.19,1,1
14.19,3.88,3,36.67,2,2
10.71,3.17,3,97.22,3,2
0.62,-0.05,1,5.33,1,2
34.44,6.29,3,12.91,2,3
6.31,1.51,1,4.42,1,1
150.78,39.61,9,102.98,3,4
42.25,9.06,9,250.77,2,4
13.07,3.13,2,62.22,3,3
3.21,-0.13,1,2.7,2,1
25.16,3.87,1,30.78,2,3
35.26,9.0,2,93.71,2,3
25.25,4.82,2,42.09,3,3
14.72,2.53,2,48.89,3,2
4.67,-0.29,1,2.14,1,2
137.02,37.32,4,387.33,3,4
92.7,25.16,8,102.87,2,4
54.7,14.52,7,209.15,3,3
3.33,-0.31,1,5.7,1,2
3.28,0.04,1,1.44,1,1
5.12,-0.35,1,6.86,1,1
9.43,2.24,3,73.73,2,3
31.23,7.19,2,92.35,3,2
3.37,-0.07,1,3.13,1,2
7.02,1.37,2,31.59,2,2
48.25,16.66,10,354.25,3,4
3.13,-0.02,1,5.79,2,1
13.49,2.78,1,49.92,2,2
2.12,-0.08,1,4.84,1,2
6.95,1.02,1,6.13,1,1
7.0,1.34,1,79.09,3,2
28.88,5.94,3,78.5,2,3
14.19,2.79,3,52.93,3,2
143.06,44.7,6,150.81,3,4
129.74,40.69,6,281.83,3,3
69.65,17.78,8,348.81,3,3
133.0,41.28,8,289.49,2,4
14.81,3.45,3,81.59,2,3
5.54,0.17,1,4.7,1,1
2.88,0.29,1,3.75,1,1
137.69,31.48,9,358.6,3,4
4.05,0.53,1,9.27,2,1
5.46,0.4,1,6.27,1,2
80.61,21.79,9,476.18,3,4
38.23,11.45,2,14.67,1,2
4.07,0.24,1,3.97,1,2
23.92,6.34,1,33.55,2,2
54.1,15.14,4,183.71,3,3
67.19,14.35,8,302.7,3,3
29.19,8.65,2,77.08,2,2
4.2,0.87,1,3.62,1,1
3.13,0.65,1,3.23,1,1
3.64,-0.14,1,7.98,1,1
4.16,0.83,1,9.11,1,2
33.97,7.39,1,16.39,3,2
1.84,0.42,1,4.75,1,1
37.46,10.24,3,14.31,3,2
4.53,0.9,1,5.46,1,1
32.79,6.7,2,92.59,1,3
99.96,37.6,7,193.65,3,4
47.22,16.16,5,127.76,3,3
5.03,-0.4,1,2.11,1,1
9.32,1.69,2,82.81,2,3
101.56,28.96,5,159.8,3,3
31.59,4.96,2,40.98,2,2
4.73,-0.21,1,8.9,1,1
3.74,0.28,1,9.29,1,2
25.69,7.03,1,63.52,2,3
1.38,0.34,1,7.9,1,1
146.01,41.35,6,234.46,3,3
5.17,0.57,1,9.74,1,2
19.65,4.67,1,11.36,2,2
1.62,0.28,1,9.29,1,1
35.35,8.95,2,28.32,1,2
5.55,0.26,1,6.4,1,1
2.82,0.54,1,7.5,1,1
4.07,0.28,1,6.85,1,2
2.17,0.3,1,2.45,1,1
6.83,0.18,1,2.96,2,1
4.69,-0.07,1,8.97,1,1
2.03,-0.2,1,7.12,1,1
4.63,0.14,1,1.63,1,1
4.03,-0.15,1,3.15,1,1
27.72,7.28,3,23.6,2,3
14.87,2.9,1,27.54,3,3
52.17,12.19,3,201.98,3,4
2.44,0.23,1,7.92,1,2
21.71,4.53,3,68.03,2,2
10.6,2.02,1,83.94,3,2
1.56,0.39,1,5.13,1,1
34.5,6.74,3,84.94,2,2
131.96,35.95,5,123.95,3,4
59.28,16.35,8,470.45,3,4
32.04,5.32,3,48.48,2,2
30.61,8.91,3,85.33,2,2
2.55,0.12,1,8.26,1,1
6.9,0.37,1,9.75,1,1
2.91,0.68,1,6.67,1,1
100.31,31.86,8,402.16,2,4
2.77,0.0,1,6.59,2,1
16.94,5.07,1,48.47,2,2
6.34,0.88,1,1.31,1,1
18.42,5.5,3,38.23,2,3
33.87,6.65,1,99.4,2,2
6.52,0.12,1,4.27,1,1
37.24,10.28,2,13.0,2,3
5.91,1.26,1,6.99,1,1
3.03,0.45,1,7.02,1,2
47.14,14.76,10,455.31,3,3
6.69,1.57,1,5.75,1,2
0.93,0.06,1,7.61,1,1
2.64,0.23,1,5.07,1,2
24.51,5.82,2,51.32,2,3
1.28,0.29,1,1.46,2,2
5.93,0.13,1,8.98,1,1
111.82,27.54,3,240.01,2,3
19.22,5.18,1,35.89,2,3
0.83,0.18,1,5.23,1,2
13.57,2.18,1,59.6,3,2
104.68,23.68,7,479.86,3,4
32.95,9.5,1,18.22,2,2
1.52,0.22,1,1.87,1,1
12.38,2.94,2,89.49,2,2
5.39,0.49,1,3.2,1,1
141.34,38.55,6,443.04,3,3
12.28,1.92,2,27.67,2,3
13.27,3.81,2,36.79,2,2
2.7,-0.05,1,7.35,1,2
90.85,30.25,4,299.22,3,4
0.55,0.05,1,4.02,1,1
6.9,1.25,1,8.04,1,1
4.67,0.88,1,6.59,1,1
1.7,-0.12,1,7.02,1,1
142.87,50.49,7,340.93,3,3
6.84,0.84,1,5.27,1,1
14.47,2.8,2,93.14,2,2
54.89,19.02,10,341.68,3,3
4.36,0.61,1,7.52,1,2
24.53,4.66,2,16.39,3,2
6.69,1.39,1,8.83,1,1
9.09,2.63,3,76.11,2,3
29.45,4.46,2,13.11,2,3
31.3,8.62,2,18.34,2,3
75.85,18.63,3,380.58,3,4
3.62,0.04,1,3.42,1,1
7.82,1.83,2,72.69,3,3
118.78,35.51,3,430.96,2,4
12.44,3.58,1,34.0,2,3
30.86,6.9,2,13.86,2,2
6.57,1.24,1,6.55,1,2
6.66,1.57,1,9.14,1,1
24.67,7.17,1,82.7,2,3
39.1,10.33,2,99.78,2,2
2.69,0.65,1,9.61,1,2
14.86,3.01,2,18.03,2,3
0.92,-0.03,1,1.4,1,1
110.27,37.87,3,475.83,3,3
157.03,49.2,3,378.11,2,3
2.94,0.47,1,4.4,1,1
5.78,0.14,1,2.14,1,1
1.9,-0.12,1,9.19,1,1
5.97,0.16,1,1.2,1,1
90.89,23.9,10,409.09,3,3
2.2,0.03,1,9.99,1,1
1.04,0.01,1,7.04,1,1
33.83,7.69,3,51.07,2,3
5.05,-0.0,1,9.89,1,1
17.39,3.79,2,73.68,1,3
2.32,0.57,1,8.04,1,1
9.69,2.82,3,48.22,2,3
2.35,-0.13,1,8.79,1,1
17.68,4.64,2,93.89,2,3
2.7,-0.26,1,9.86,1,1
21.73,3.92,3,83.65,1,2
24.78,6.94,1,64.12,3,2
5.87,-0.45,1,7.06,1,2
38.49,11.42,2,86.46,2,3
33.27,6.81,1,46.13,1,2
20.01,3.17,3,41.75,1,2
28.71,7.28,2,94.35,2,3
7.22,1.2,1,38.66,2,3
1.73,-0.0,1,7.13,1,2
2.93,-0.14,1,7.93,1,1
3.62,-0.0,1,6.17,2,1
21.54,4.5,3,83.07,2,3
1.75,-0.05,1,7.02,1,1
16.04,4.76,1,43.33,2,3
48.47,11.86,4,391.82,2,4
3.17,0.14,1,2.49,1,1
5.96,0.0,1,2.8,1,2
17.96,4.22,1,85.8,2,3
17.92,3.58,1,82.71,2,2
12.37,3.41,1,17.44,2,2
103.1,29.9,7,153.41,2,4
1.34,0.17,1,8.56,1,1
29.87,8.1,1,90.95,2,3
4.04,0.6,1,7.15,1,1
4.46,0.59,1,5.72,1,1
1.2,0.02,1,1.02,1,1
14.93,3.84,3,55.38,3,2
8.16,2.38,3,28.09,2,3
22.87,3.84,1,99.04,2,2
2.95,0.11,1,7.07,1,2
11.57,2.65,3,72.1,2,2
49.88,18.49,4,230.97,3,4
36.86,6.96,3,92.91,1,2
3.21,0.67,1,9.21,1,1
29.98,5.09,2,61.21,2,3
1.67,0.33,1,2.2,1,1
2.43,0.04,1,3.9,1,2
33.91,5.32,3,19.36,2,2
111.64,43.03,6,145.16,3,4
1.96,0.11,1,3.96,1,1
20.6,4.75,2,27.15,2,3
5.04,0.07,1,7.27,1,2
9.02,1.91,3,23.2,2,3
2.1,0.52,1,4.07,1,2
37.25,8.62,2,46.07,2,2
3.74,0.33,1,6.38,1,1
18.37,2.83,3,89.2,3,3
123.63,49.15,4,483.2,3,3
28.85,5.98,2,32.05,2,2
66.89,20.83,9,440.19,3,4
5.91,0.95,1,9.51,1,1
5.36,-0.33,1,8.37,1,1
22.27,5.7,2,16.9,3,2
5.2,0.44,1,6.7,1,2
4.87,-0.43,1,6.51,2,1
81.88,20.4,4,381.88,2,3
16.63,2.97,1,37.86,2,3
0.53,-0.01,1,6.3,1,1
28.1,4.45,3,80.25,3,2
3.5,0.76,1,9.5,1,1
39.69,7.97,2,35.64,1,2
3.61,0.28,1,4.26,1,1
101.81,35.06,9,259.9,3,4
2.31,0.56,1,1.45,1,1
14.77,3.44,3,45.14,2,3
138.72,35.33,3,313.55,3,4
17.02,3.06,2,73.28,2,2
12.98,3.33,3,45.61,2,3
3.37,0.41,1,7.76,1,1
53.28,16.88,10,185.72,3,4
3.24,0.09,1,9.96,2,1
18.1,5.28,3,74.91,2,3
82.03,22.8,4,494.62,3,3
33.78,9.37,1,44.11,2,2
151.96,39.71,3,277.1,3,4
17.66,5.27,2,57.5,2,2
20.14,3.55,3,16.99,2,2
5.29,-0.26,1,2.09,2,1
5.28,-0.33,1,5.32,1,2
4.92,0.58,1,7.33,1,1
1.81,0.15,1,6.82,1,1
1.36,0.18,1,6.85,1,1
26.35,7.86,2,84.84,2,2
148.98,54.77,5,430.05,2,3
16.97,3.57,2,21.43,2,2
1.68,0.21,1,9.52,1,1
4.38,0.64,1,6.67,1,1
36.02,7.65,2,26.25,3,3
30.39,8.02,3,76.41,2,2
1.99,0.26,1,8.93,1,1
33.44,8.9,2,68.19,2,2
6.46,-0.22,1,8.96,1,1
33.68,8.07,1,65.21,2,3
72.14,27.61,4,350.28,2,3
5.31,0.8,1,5.21,1,1
